split,image,label,line,top_edge_width_px,new_class,new_name
train,CropImage_20260126092651160_F3-I0_OK-4.bmp,CropImage_20260126092651160_F3-I0_OK-4.txt,1,222.387988,1,label1_thick
train,CropImage_20260126092651160_F3-I0_OK-5.bmp,CropImage_20260126092651160_F3-I0_OK-5.txt,1,92.178752,0,label1_thin
train,CropImage_20260126092651160_F3-I0_OK-6.bmp,CropImage_20260126092651160_F3-I0_OK-6.txt,1,86.983128,0,label1_thin
train,CropImage_20260126092651160_F3-I0_OK-7.bmp,CropImage_20260126092651160_F3-I0_OK-7.txt,1,93.630096,0,label1_thin
train,CropImage_20260126093618560_F3-I0_OK-2.bmp,CropImage_20260126093618560_F3-I0_OK-2.txt,1,223.279980,1,label1_thick
train,CropImage_20260126093618560_F3-I0_OK-3.bmp,CropImage_20260126093618560_F3-I0_OK-3.txt,1,96.289830,0,label1_thin
train,CropImage_20260126093618560_F3-I0_OK-4.bmp,CropImage_20260126093618560_F3-I0_OK-4.txt,1,195.139926,1,label1_thick
train,CropImage_20260126093618560_F3-I0_OK-5.bmp,CropImage_20260126093618560_F3-I0_OK-5.txt,1,92.489806,0,label1_thin
train,CropImage_20260126093618560_F3-I0_OK-6.bmp,CropImage_20260126093618560_F3-I0_OK-6.txt,1,93.776196,0,label1_thin
train,CropImage_20260126093618560_F3-I0_OK-7.bmp,CropImage_20260126093618560_F3-I0_OK-7.txt,1,89.799966,0,label1_thin
train,CropImage_20260126093628062_F3-I0_OK-2.bmp,CropImage_20260126093628062_F3-I0_OK-2.txt,1,217.930229,1,label1_thick
train,CropImage_20260126093628062_F3-I0_OK-3.bmp,CropImage_20260126093628062_F3-I0_OK-3.txt,1,93.300000,0,label1_thin
train,CropImage_20260126093628062_F3-I0_OK-4.bmp,CropImage_20260126093628062_F3-I0_OK-4.txt,1,205.590084,1,label1_thick
train,CropImage_20260126093628062_F3-I0_OK-5.bmp,CropImage_20260126093628062_F3-I0_OK-5.txt,1,89.200020,0,label1_thin
train,CropImage_20260126093628062_F3-I0_OK-6.bmp,CropImage_20260126093628062_F3-I0_OK-6.txt,1,100.379882,0,label1_thin
train,CropImage_20260126093628062_F3-I0_OK-7.bmp,CropImage_20260126093628062_F3-I0_OK-7.txt,1,98.819915,0,label1_thin
train,CropImage_20260126135006021_F3-I0_OK-2.bmp,CropImage_20260126135006021_F3-I0_OK-2.txt,1,204.540112,1,label1_thick
train,CropImage_20260126135006021_F3-I0_OK-3.bmp,CropImage_20260126135006021_F3-I0_OK-3.txt,1,100.920192,0,label1_thin
train,CropImage_20260126135006021_F3-I0_OK-4.bmp,CropImage_20260126135006021_F3-I0_OK-4.txt,1,199.389968,1,label1_thick
train,CropImage_20260126135006021_F3-I0_OK-5.bmp,CropImage_20260126135006021_F3-I0_OK-5.txt,1,101.580144,0,label1_thin
train,CropImage_20260126135006021_F3-I0_OK-6.bmp,CropImage_20260126135006021_F3-I0_OK-6.txt,1,103.310242,0,label1_thin
train,CropImage_20260126135006021_F3-I0_OK-7.bmp,CropImage_20260126135006021_F3-I0_OK-7.txt,1,89.599788,0,label1_thin
train,CropImage_20260127084251120_F3-I0_OK-2.bmp,CropImage_20260127084251120_F3-I0_OK-2.txt,1,180.010139,1,label1_thick
train,CropImage_20260127084251120_F3-I0_OK-3.bmp,CropImage_20260127084251120_F3-I0_OK-3.txt,1,93.759930,0,label1_thin
train,CropImage_20260127084251120_F3-I0_OK-4.bmp,CropImage_20260127084251120_F3-I0_OK-4.txt,1,196.159968,1,label1_thick
train,CropImage_20260127084251120_F3-I0_OK-5.bmp,CropImage_20260127084251120_F3-I0_OK-5.txt,1,99.299871,0,label1_thin
train,CropImage_20260127084251120_F3-I0_OK-6.bmp,CropImage_20260127084251120_F3-I0_OK-6.txt,1,100.100010,0,label1_thin
train,CropImage_20260127084251120_F3-I0_OK-7.bmp,CropImage_20260127084251120_F3-I0_OK-7.txt,1,91.840104,0,label1_thin
train,CropImage_20260127110359643_F3-I0_NG-2.bmp,CropImage_20260127110359643_F3-I0_NG-2.txt,1,185.889816,1,label1_thick
train,CropImage_20260127110359643_F3-I0_NG-3.bmp,CropImage_20260127110359643_F3-I0_NG-3.txt,1,98.190144,0,label1_thin
train,CropImage_20260127110359643_F3-I0_NG-4.bmp,CropImage_20260127110359643_F3-I0_NG-4.txt,1,203.724238,1,label1_thick
train,CropImage_20260127110359643_F3-I0_NG-5.bmp,CropImage_20260127110359643_F3-I0_NG-5.txt,1,95.860134,0,label1_thin
train,CropImage_20260127110359643_F3-I0_NG-6.bmp,CropImage_20260127110359643_F3-I0_NG-6.txt,1,132.020031,0,label1_thin
train,CropImage_20260127110421517_F3-I0_OK-2.bmp,CropImage_20260127110421517_F3-I0_OK-2.txt,1,181.249832,1,label1_thick
train,CropImage_20260127110421517_F3-I0_OK-3.bmp,CropImage_20260127110421517_F3-I0_OK-3.txt,1,95.249804,0,label1_thin
train,CropImage_20260127110421517_F3-I0_OK-4.bmp,CropImage_20260127110421517_F3-I0_OK-4.txt,1,204.710040,1,label1_thick
train,CropImage_20260127110421517_F3-I0_OK-5.bmp,CropImage_20260127110421517_F3-I0_OK-5.txt,1,93.869792,0,label1_thin
train,CropImage_20260127110421517_F3-I0_OK-6.bmp,CropImage_20260127110421517_F3-I0_OK-6.txt,1,96.479964,0,label1_thin
train,CropImage_20260127110421517_F3-I0_OK-7.bmp,CropImage_20260127110421517_F3-I0_OK-7.txt,1,92.879955,0,label1_thin
train,CropImage_20260127110514426_F3-I0_OK-2.bmp,CropImage_20260127110514426_F3-I0_OK-2.txt,1,199.730082,1,label1_thick
train,CropImage_20260127110514426_F3-I0_OK-3.bmp,CropImage_20260127110514426_F3-I0_OK-3.txt,1,105.910000,0,label1_thin
train,CropImage_20260127110514426_F3-I0_OK-4.bmp,CropImage_20260127110514426_F3-I0_OK-4.txt,1,199.380000,1,label1_thick
train,CropImage_20260127110514426_F3-I0_OK-5.bmp,CropImage_20260127110514426_F3-I0_OK-5.txt,1,101.219898,0,label1_thin
train,CropImage_20260127110514426_F3-I0_OK-6.bmp,CropImage_20260127110514426_F3-I0_OK-6.txt,1,99.839961,0,label1_thin
train,CropImage_20260127110514426_F3-I0_OK-7.bmp,CropImage_20260127110514426_F3-I0_OK-7.txt,1,96.639894,0,label1_thin
train,CropImage_20260127110706968_F3-I0_OK-2.bmp,CropImage_20260127110706968_F3-I0_OK-2.txt,1,205.419981,1,label1_thick
train,CropImage_20260127110706968_F3-I0_OK-3.bmp,CropImage_20260127110706968_F3-I0_OK-3.txt,1,101.300040,0,label1_thin
train,CropImage_20260127110706968_F3-I0_OK-4.bmp,CropImage_20260127110706968_F3-I0_OK-4.txt,1,195.300042,1,label1_thick
train,CropImage_20260127110706968_F3-I0_OK-5.bmp,CropImage_20260127110706968_F3-I0_OK-5.txt,1,100.410156,0,label1_thin
train,CropImage_20260127110706968_F3-I0_OK-6.bmp,CropImage_20260127110706968_F3-I0_OK-6.txt,1,89.350216,0,label1_thin
train,CropImage_20260127110943715_F3-I0_OK-2.bmp,CropImage_20260127110943715_F3-I0_OK-2.txt,1,203.310294,1,label1_thick
train,CropImage_20260127110943715_F3-I0_OK-3.bmp,CropImage_20260127110943715_F3-I0_OK-3.txt,1,101.339920,0,label1_thin
train,CropImage_20260127110943715_F3-I0_OK-4.bmp,CropImage_20260127110943715_F3-I0_OK-4.txt,1,200.929804,1,label1_thick
train,CropImage_20260127110943715_F3-I0_OK-5.bmp,CropImage_20260127110943715_F3-I0_OK-5.txt,1,89.079808,0,label1_thin
train,CropImage_20260127110943715_F3-I0_OK-6.bmp,CropImage_20260127110943715_F3-I0_OK-6.txt,1,108.959984,0,label1_thin
train,CropImage_20260127174342914_F3-I0_OK-2.bmp,CropImage_20260127174342914_F3-I0_OK-2.txt,1,200.650296,1,label1_thick
train,CropImage_20260127174342914_F3-I0_OK-3.bmp,CropImage_20260127174342914_F3-I0_OK-3.txt,1,102.069900,0,label1_thin
train,CropImage_20260127174342914_F3-I0_OK-4.bmp,CropImage_20260127174342914_F3-I0_OK-4.txt,1,204.560055,1,label1_thick
train,CropImage_20260127174342914_F3-I0_OK-5.bmp,CropImage_20260127174342914_F3-I0_OK-5.txt,1,103.950000,0,label1_thin
train,CropImage_20260127174342914_F3-I0_OK-6.bmp,CropImage_20260127174342914_F3-I0_OK-6.txt,1,97.900008,0,label1_thin
train,CropImage_20260127174342914_F3-I0_OK-7.bmp,CropImage_20260127174342914_F3-I0_OK-7.txt,1,98.909850,0,label1_thin
train,CropImage_20260127183936444_F3-I0_OK-2.bmp,CropImage_20260127183936444_F3-I0_OK-2.txt,1,201.880225,1,label1_thick
train,CropImage_20260127183936444_F3-I0_OK-3.bmp,CropImage_20260127183936444_F3-I0_OK-3.txt,1,95.349872,0,label1_thin
train,CropImage_20260127183936444_F3-I0_OK-4.bmp,CropImage_20260127183936444_F3-I0_OK-4.txt,1,212.010139,1,label1_thick
train,CropImage_20260127183936444_F3-I0_OK-5.bmp,CropImage_20260127183936444_F3-I0_OK-5.txt,1,111.749820,0,label1_thin
train,CropImage_20260127183936444_F3-I0_OK-6.bmp,CropImage_20260127183936444_F3-I0_OK-6.txt,1,102.589920,0,label1_thin
train,CropImage_20260127183936444_F3-I0_OK-7.bmp,CropImage_20260127183936444_F3-I0_OK-7.txt,1,106.906482,0,label1_thin
train,CropImage_20260127184031899_F3-I0_OK-2.bmp,CropImage_20260127184031899_F3-I0_OK-2.txt,1,204.779965,1,label1_thick
train,CropImage_20260127184031899_F3-I0_OK-3.bmp,CropImage_20260127184031899_F3-I0_OK-3.txt,1,101.750264,0,label1_thin
train,CropImage_20260127184031899_F3-I0_OK-4.bmp,CropImage_20260127184031899_F3-I0_OK-4.txt,1,203.510326,1,label1_thick
train,CropImage_20260127184031899_F3-I0_OK-5.bmp,CropImage_20260127184031899_F3-I0_OK-5.txt,1,98.290175,0,label1_thin
train,CropImage_20260127184031899_F3-I0_OK-6.bmp,CropImage_20260127184031899_F3-I0_OK-6.txt,1,105.689888,0,label1_thin
train,CropImage_20260127184031899_F3-I0_OK-7.bmp,CropImage_20260127184031899_F3-I0_OK-7.txt,1,95.649632,0,label1_thin
train,CropImage_20260127184038417_F3-I0_OK-2.bmp,CropImage_20260127184038417_F3-I0_OK-2.txt,1,196.509963,1,label1_thick
train,CropImage_20260127184038417_F3-I0_OK-3.bmp,CropImage_20260127184038417_F3-I0_OK-3.txt,1,106.990074,0,label1_thin
train,CropImage_20260127184038417_F3-I0_OK-5.bmp,CropImage_20260127184038417_F3-I0_OK-5.txt,1,103.599954,0,label1_thin
train,CropImage_20260127184038417_F3-I0_OK-6.bmp,CropImage_20260127184038417_F3-I0_OK-6.txt,1,100.869770,0,label1_thin
